menus_appeared,times_appeared,first_appeared,last_appeared,lowest_price,highest_price
3,3,1900,1938,0.2,0.2
3,3,1959,1959,4.0,4.1
1,1,1917,1917,0.9,0.9
1,1,1985,1985,5.0,5.0
1,1,1900,1900,35.0,60.0
1,1,1968,1968,3.75,3.75
1,1,1913,1913,0.45,0.45
1,1,1918,1918,0.45,0.45
1,1,1933,1933,0.45,0.45
1,1,1987,1987,1.95,1.95
4,4,1917,1917,0.5,0.5
1,1,1917,1917,0.75,0.75
1,1,1948,1948,0.65,0.65
1,1,1948,1948,0.65,0.65
1,1,1985,1985,7.0,7.0
1,1,1918,1918,0.25,0.25
1,1,1987,1987,3.5,3.5
2,2,1972,1977,0.95,1.6
1,1,1960,1960,1.2,1.2
1,1,1917,1917,0.6,0.6
6,6,1900,1900,0.05,0.05
1,1,1913,1913,1.65,1.65
1,1,1984,1984,23.0,23.0
1,1,1907,1907,0.5,0.5
2,2,1893,1920,0.3,0.3
1,1,1912,1912,0.5,0.5
1,1,1892,1892,0.2,0.2
1,1,1914,1914,0.1,0.1
2,2,1918,1918,0.65,0.65
7,7,1881,1914,0.15,0.15
